UpdateDate,UpdateTime,Rank,TeamName,TeamLogo
2018/07/16,20:15,1,ＦＣ琉球,https://data.j-league.or.jp/img/team/000072.jpg
2018/07/16,20:15,2,鹿児島ユナイテッドＦＣ,https://data.j-league.or.jp/img/team/000074.jpg
2018/07/16,20:15,3,アスルクラロ沼津,https://data.j-league.or.jp/img/team/000075.jpg
2018/07/16,20:15,4,福島ユナイテッドＦＣ,https://data.j-league.or.jp/img/team/000066.jpg
2018/07/16,20:15,5,セレッソ大阪Ｕ－２３,https://data.j-league.or.jp/img/team/200031.jpg
2018/07/16,20:15,6,ガイナーレ鳥取,https://data.j-league.or.jp/img/team/000059.jpg
2018/07/16,20:15,7,ガンバ大阪Ｕ－２３,https://data.j-league.or.jp/img/team/200009.jpg
2018/07/16,20:15,8,Ｙ．Ｓ．Ｃ．Ｃ．横浜,https://data.j-league.or.jp/img/team/000067.jpg
2018/07/16,20:15,9,ＳＣ相模原,https://data.j-league.or.jp/img/team/000068.jpg
2018/07/16,20:15,10,ＡＣ長野パルセイロ,https://data.j-league.or.jp/img/team/000069.jpg
2018/07/16,20:15,11,ブラウブリッツ秋田,https://data.j-league.or.jp/img/team/000065.jpg
2018/07/16,20:15,12,藤枝ＭＹＦＣ,https://data.j-league.or.jp/img/team/000071.jpg
2018/07/16,20:15,13,グルージャ盛岡,https://data.j-league.or.jp/img/team/000064.jpg
2018/07/16,20:15,14,ザスパクサツ群馬,https://data.j-league.or.jp/img/team/000050.jpg
2018/07/16,20:15,15,カターレ富山,https://data.j-league.or.jp/img/team/000056.jpg
2018/07/16,20:15,16,ＦＣ東京Ｕ－２３,https://data.j-league.or.jp/img/team/200033.jpg
2018/07/16,20:15,17,ギラヴァンツ北九州,https://data.j-league.or.jp/img/team/000058.jpg
